"province","raw_locality","school_count","sample_emis","normalized_suggestion","reviewer_decision"
"EC","UMTATA","149","200400014","Umtata","Umtata"
"EC","BIZANA","139","200500012","Bizana","Bizana"
"EC","MOUNT FRERE","131","200500004","Mount Frere","Mount Frere"
"EC","TABANKULU","123","200500009","Tabankulu","Tabankulu"
"EC","WILLOWVALE","123","200300008","Willowvale","Willowvale"
"EC","UNALLOCATED","117","200100386","Unallocated","Unallocated"
"EC","IDUTYWA","114","200300001","Idutywa","Idutywa"
"EC","NGQELENI","111","200400017","Ngqeleni","Ngqeleni"
"EC","MQANDULI","108","200400006","Mqanduli","Mqanduli"
"EC","ENGCOBO","99","200400030","Engcobo","Engcobo"
"EC","FLAGSTAFF","98","200500036","Flagstaff","Flagstaff"
"EC","NQAMAKWE","95","200300022","Nqamakwe","Nqamakwe"
"EC","QUMBU","92","200400002","Qumbu","Qumbu"
"EC","COFIMVABA","84","200300148","Cofimvaba","Cofimvaba"
"EC","TSOLO","81","200400022","Tsolo","Tsolo"
"EC","PORT ST JOHNS","80","200400029","Port St Johns","Port St Johns"
"EC","ELLIOTDALE","77","200400009","Elliotdale","Elliotdale"
"EC","TSOMO","76","200300020","Tsomo","Tsomo"
"EC","BUTTERWORTH","74","200300018","Butterworth","Butterworth"
"EC","MOUNT AYLIFF","67","200500005","Mount Ayliff","Mount Ayliff"
"EC","KING WILLIAM'S TOWN","61","200200001","King William's Town","King William's Town"
"EC","LUSIKISIKI","56","200404035","Lusikisiki","Lusikisiki"
"EC","MDANTSANE","56","200200060","Mdantsane","Mdantsane"
"EC","LIBODE","55","200400036","Libode","Libode"
"EC","KENTANI","52","200300006","Kentani","Kentani"
"EC","MT FLETCHER","46","200500020","Mt Fletcher","Mt Fletcher"
"EC","CALA","39","200600003","Cala","Cala"
"EC","MOTHERWELL","30","200100103","Motherwell","Motherwell"
"EC","LADY FRERE","30","200600029","Lady Frere","Lady Frere"
"EC","KWANOBUHLE","27","200100020","Kwanobuhle","Kwanobuhle"
"EC","MTFLETCHER","24","200400898","Mtfletcher","Mtfletcher"
