"province","raw_locality","school_count","sample_emis","normalized_suggestion","reviewer_decision"
"FS","BOTSHABELO","40","440602027","Botshabelo","Botshabelo"
"FS","PHUTHADITJHABA","22","441701192","Phuthaditjhaba","Phuthaditjhaba"
"FS","WITSIESHOEK","20","445101228","Witsieshoek","Witsieshoek"
"FS","THABA NCHU","17","443907218","Thaba Nchu","Thaba Nchu"
"FS","Phuthaditjhaba","12","441705097","Phuthaditjhaba","Phuthaditjhaba"
"FS","BETHLEHEM","9","440101018","Bethlehem","Bethlehem"
"FS","Witsieshoek","9","445101245","Witsieshoek","Witsieshoek"
"FS","SASOLBURG","9","443611240","Sasolburg","Sasolburg"
"FS","VIRGINIA","9","443803232","Virginia","Virginia"
"FS","KGOTSONG","8","440506070","Kgotsong","Kgotsong"
"FS","BLOEMFONTEIN","8","440303059","Bloemfontein","Bloemfontein"
"FS","FICKSBURG","8","441407010","Ficksburg","Ficksburg"
"FS","ROCKLANDS","8","440303028","Rocklands","Rocklands"
"FS","SELOSESHA","8","443907217","Selosesha","Selosesha"
"FS","ZAMDELA","8","443611068","Zamdela","Zamdela"
"FS","Botshabelo","7","440602032","Botshabelo","Botshabelo"
"FS","KROONSTAD","7","442506237","Kroonstad","Kroonstad"
"FS","INTABAZWE","7","441705011","Intabazwe","Intabazwe"
"FS","WELKOM","7","444712002","Welkom","Welkom"
"FS","Bohlokong","7","440101089","Bohlokong","Bohlokong"
"FS","BOHLOKONG","6","440101017","Bohlokong","Bohlokong"
"FS","VILJOENSKROON","6","444306138","Viljoenskroon","Viljoenskroon"
"FS","HARRISMITH","6","441705044","Harrismith","Harrismith"
"FS","HENNENMAN","6","441912024","Hennenman","Hennenman"
"FS","Thabong","6","444712004","Thabong","Thabong"
"FS","LADYBRAND","6","442607292","Ladybrand","Ladybrand"
"FS","KUTLWANONG","6","442908017","Kutlwanong","Kutlwanong"
"FS","MANGAUNG","6","440303280","Mangaung","Mangaung"
"FS","MOTSETHABONG","5","444712022","Motsethabong","Motsethabong"
"FS","THEUNISSEN","5","440808211","Theunissen","Theunissen"
"FS","THABONG","5","440704025","Thabong","Thabong"
"FS","BOTHAVILLE","5","440506229","Bothaville","Bothaville"
"FS","PHAHAMENG","5","445802191","Phahameng","Phahameng"
"FS","Bayswater","5","445803774","Bayswater","Bayswater"
"FS","MOKODUMELA","5","445105158","Mokodumela","Mokodumela"
"FS","Heidedal","5","440304183","Heidedal","Heidedal"
"FS","TUMAHOLE","5","443011027","Tumahole","Tumahole"
"FS","Tweespruit","4","441207156","Tweespruit","Tweespruit"
"FS","Universitas","4","440303130","Universitas","Universitas"
"FS","PHOMOLONG","4","442506078","Phomolong","Phomolong"
"FS","MELODING","4","444412057","Meloding","Meloding"
"FS","STEYNSRUS","4","442510187","Steynsrus","Steynsrus"
"FS","ROUXVILLE","4","443503106","Rouxville","Rouxville"
"FS","MANYATSENG","4","442607040","Manyatseng","Manyatseng"
"FS","Thaba Nchu","4","443907233","Thaba Nchu","Thaba Nchu"
"FS","NYAKALLONG","4","442908191","Nyakallong","Nyakallong"
"FS","PARYS","4","443011149","Parys","Parys"
"FS","KESTELL","4","440101190","Kestell","Kestell"
"FS","Meqheleng","4","441407062","Meqheleng","Meqheleng"
"FS","BULTFONTEIN","4","440808049","Bultfontein","Bultfontein"
"FS","Harrismith","4","441705033","Harrismith","Harrismith"
"FS","UNALLOCATED","4","445803488","Unallocated","Unallocated"
"FS","MATWABENG","4","443701016","Matwabeng","Matwabeng"
"FS","Tsheseng","4","445105152","Tsheseng","Tsheseng"
"FS","Sasolburg","4","443611156","Sasolburg","Sasolburg"
"FS","WESSELSBRON","4","444908243","Wesselsbron","Wesselsbron"
"FS","SEEISOVILLE","3","442506077","Seeisoville","Seeisoville"
"FS","EDENBURG","3","441103107","Edenburg","Edenburg"
"FS","CONSTANTIA PARK","3","442506030","Constantia Park","Constantia Park"
