"province","raw_locality","school_count","sample_emis","normalized_suggestion","reviewer_decision"
"GP","DAVEYTON","31","700310920.0","Daveyton","Daveyton"
"GP","ORANGE FARM","30","700330696.0","Orange Farm","Orange Farm"
"GP","TEMBISA","29","700260828.0","Tembisa","Tembisa"
"GP","JOHANNESBURG","29","700110775.0","Johannesburg","Johannesburg"
"GP","SEBOKENG","27","700320275.0","Sebokeng","Sebokeng"
"GP","MEADOWLANDS","27","700140459.0","Meadowlands","Meadowlands"
"GP","KATLEHONG","26","700340521.0","Katlehong","Katlehong"
"GP","ATTERIDGEVILLE","22","700231555.0","Atteridgeville","Atteridgeville"
"GP","MAMELODI EAST","22","700220533.0","Mamelodi East","Mamelodi East"
"GP","DIEPKLOOF","21","700131912.0","Diepkloof","Diepkloof"
"GP","MABOPANE","20","700910214.0","Mabopane","Mabopane"
"GP","WINTERVELDT","20","700400979.0","Winterveldt","Winterveldt"
"GP","DOBSONVILLE","19","700251223.0","Dobsonville","Dobsonville"
"GP","ALEXANDRA","19","700152009.0","Alexandra","Alexandra"
"GP","TSAKANE","19","700310938.0","Tsakane","Tsakane"
"GP","ELDORADO PARK","18","700120030.0","Eldorado Park","Eldorado Park"
"GP","LENASIA","18","700110106.0","Lenasia","Lenasia"
"GP","BRYANSTON","16","700150177.0","Bryanston","Bryanston"
"GP","VOSLOORUS","16","700161687.0","Vosloorus","Vosloorus"
"GP","BENONI","16","700310383.0","Benoni","Benoni"
"GP","TEMBA","16","700910484.0","Temba","Temba"
"GP","MAMELODI","16","700220616.0","Mamelodi","Mamelodi"
"GP","ORLANDO EAST","15","700131805.0","Orlando East","Orlando East"
"GP","FLORIDA","15","700250159.0","Florida","Florida"
"GP","PRETORIA","14","700231043.0","Pretoria","Pretoria"
"GP","EVATON","14","700320366.0","Evaton","Evaton"
"GP","ORLANDO WEST","14","700131862.0","Orlando West","Orlando West"
"GP","KAGISO","13","700251199.0","Kagiso","Kagiso"
"GP","SAULSVILLE","13","700231514.0","Saulsville","Saulsville"
"GP","KEMPTON PARK","13","700260125.0","Kempton Park","Kempton Park"
"GP","HILLBROW","13","700400201.0","Hillbrow","Hillbrow"
"GP","LAUDIUM","13","700230011.0","Laudium","Laudium"
"GP","MOHLAKENG","12","700270595.0","Mohlakeng","Mohlakeng"
"GP","MAMELODI WEST","12","700220525.0","Mamelodi West","Mamelodi West"
"GP","KENSINGPON","12","700130070.0","Kensingpon","Kensingpon"
"GP","KWA-THEMA","12","700350728.0","Kwa Thema","Kwa Thema"
"GP","DUDUZA","12","700350645.0","Duduza","Duduza"
"GP","PARKTOWN","11","700130203.0","Parktown","Parktown"
"GP","GA-RANKUWA","11","700240721.0","Ga Rankuwa","Ga Rankuwa"
"GP","PIMVILLE","11","700400309.0","Pimville","Pimville"
"GP","THOKOZA","11","700340463.0","Thokoza","Thokoza"
"GP","ARCADIA","11","700232215.0","Arcadia","Arcadia"
"GP","HALFWAY HOUSE","11","700132464.0","Halfway House","Halfway House"
"GP","PRETORIA CENTRAL","11","700230268.0","Pretoria Central","Pretoria Central"
"GP","SOSHANGUVE","11","700240580.0","Soshanguve","Soshanguve"
"GP","NALEDI","10","700110528.0","Naledi","Naledi"
"GP","EDENVALE","10","700160416.0","Edenvale","Edenvale"
"GP","COSMO CITY","10","700400178.0","Cosmo City","Cosmo City"
"GP","BEDFORDVIEW","10","700160176.0","Bedfordview","Bedfordview"
"GP","VEREENIGING","10","700400011.0","Vereeniging","Vereeniging"
"GP","EKANGALA","10","700920186.0","Ekangala","Ekangala"
"GP","BRAAMFONTEIN","10","700131995.0","Braamfontein","Braamfontein"
"GP","LENASIA SOUTH","9","700110171.0","Lenasia South","Lenasia South"
"GP","BLOCK L","9","700240499.0","Block L","Block L"
"GP","STINKWATER","9","700910169.0","Stinkwater","Stinkwater"
"GP","SOWETO","9","700110668.0","Soweto","Soweto"
"GP","YEOVILLE","9","700131490.0","Yeoville","Yeoville"
"GP","ROODEPOORT","9","700250621.0","Roodepoort","Roodepoort"
"GP","BRACKENHURST","9","700340133.0","Brackenhurst","Brackenhurst"
"GP","FERNDALE","9","700133976.0","Ferndale","Ferndale"
"GP","ROBERTSHAM","8","700120758.0","Robertsham","Robertsham"
"GP","NEW REDRUTH","8","700340109.0","New Redruth","New Redruth"
"GP","ETWATWA","8","700310862.0","Etwatwa","Etwatwa"
"GP","WATTVILLE","8","700310870.0","Wattville","Wattville"
"GP","WAVERLEY","8","700130187.0","Waverley","Waverley"
"GP","FOURWAYS","8","700152322.0","Fourways","Fourways"
"GP","HOUGHTON","8","700130757.0","Houghton","Houghton"
"GP","RANDPARK RIDGE","8","700152702.0","Randpark Ridge","Randpark Ridge"
"GP","PRETORIA WEST","8","700230185.0","Pretoria West","Pretoria West"
"GP","HORISON","7","700250274.0","Horison","Horison"
"GP","HEIDELBERG","7","700340174.0","Heidelberg","Heidelberg"
"GP","RATANDA","7","700340455.0","Ratanda","Ratanda"
"GP","EERSTERUST","7","700220020.0","Eersterust","Eersterust"
"GP","SELCOURT","7","700350454.0","Selcourt","Selcourt"
"GP","REIGER PARK","7","700160010.0","Reiger Park","Reiger Park"
"GP","TURFFONTEIN","7","700120766.0","Turffontein","Turffontein"
"GP","SHARPVILLE","7","700330902.0","Sharpville","Sharpville"
"GP","IVORY PARK","7","700260653.0","Ivory Park","Ivory Park"
"GP","VANDERBIJLPARK","7","700321281.0","Vanderbijlpark","Vanderbijlpark"
"GP","DIEPSLOOT","7","700152397.0","Diepsloot","Diepsloot"
"GP","BIRCH ACRES","6","700260026.0","Birch Acres","Birch Acres"
"GP","THREE RIVERS","6","700330167.0","Three Rivers","Three Rivers"
"GP","SHARPEVILLE","6","700330738.0","Sharpeville","Sharpeville"
"GP","NOORDWYK","6","700150979.0","Noordwyk","Noordwyk"
"GP","ORANGE GROVE","6","700130526.0","Orange Grove","Orange Grove"
"GP","MALVERN","6","700130864.0","Malvern","Malvern"
"GP","RIETFONTEIN","6","700401116.0","Rietfontein","Rietfontein"
"GP","BOSMONT","6","700140020.0","Bosmont","Bosmont"
"GP","ACTONVILLE","6","700310045.0","Actonville","Actonville"
"GP","PRIMROSE","6","700161331.0","Primrose","Primrose"
"GP","LOTUS GARDENS","6","700230086.0","Lotus Gardens","Lotus Gardens"
"GP","SUNNYSIDE","6","700230946.0","Sunnyside","Sunnyside"
"GP","WHITE CITY JABAVU","6","700132084.0","White City Jabavu","White City Jabavu"
"GP","ZOLA NORTH","6","700110510.0","Zola North","Zola North"
"GP","JABULANI","6","700121277.0","Jabulani","Jabulani"
"GP","BRAKPAN","6","700310201.0","Brakpan","Brakpan"
"GP","MULBARTON","6","700110403.0","Mulbarton","Mulbarton"
"GP","BOPHELONG","6","700320341.0","Bophelong","Bophelong"
"GP","BRENTHURST","6","700310227.0","Brenthurst","Brenthurst"
"GP","BOIPATONG","6","700320440.0","Boipatong","Boipatong"
"GP","BROOKLYN","6","700210047.0","Brooklyn","Brooklyn"
"GP","ROSETTENVILLE","6","700121046.0","Rosettenville","Rosettenville"
"GP","OLIEVENHOUTBOSCH","6","700212267.0","Olievenhoutbosch","Olievenhoutbosch"
"GP","EXTENSION 1","5","700311142.0","Extension 1","Extension 1"
"GP","GEDULD","5","700350074.0","Geduld","Geduld"
"GP","WIERDAPARK","5","700210641.0","Wierdapark","Wierdapark"
"GP","CHIAWELO","5","700110551.0","Chiawelo","Chiawelo"
"GP","SOUTH HILLS","5","700120568.0","South Hills","South Hills"
"GP","FINETOWN","5","700110908.0","Finetown","Finetown"
"GP","GLEN AUSTIN","5","700400419.0","Glen Austin","Glen Austin"
"GP","MARSHALLTOWN","5","700400682.0","Marshalltown","Marshalltown"
"GP","MOFOLO NORTH","5","700132282.0","Mofolo North","Mofolo North"
"GP","SILVERTON","5","700220186.0","Silverton","Silverton"
"GP","FLORIDA PARK","5","700250142.0","Florida Park","Florida Park"
"GP","KWA THEMA","5","700350702.0","Kwa Thema","Kwa Thema"
"GP","BEREA","5","700130153.0","Berea","Berea"
"GP","ENNERDALE","5","700110023.0","Ennerdale","Ennerdale"
"GP","RANDBURG","5","700152859.0","Randburg","Randburg"
"GP","MEYERTON","5","700330084.0","Meyerton","Meyerton"
"GP","FONTAINEBLEAU","5","700150631.0","Fontainebleau","Fontainebleau"
"GP","VICTORY PARK","5","700150375.0","Victory Park","Victory Park"
"GP","DUNCANVILLE","5","700330316.0","Duncanville","Duncanville"
"GP","NORTHMEAD","5","700310151.0","Northmead","Northmead"
"GP","ZONKIZIZWE","5","700341073.0","Zonkizizwe","Zonkizizwe"
"GP","LINDEN","5","700150250.0","Linden","Linden"
"GP","GLENHAZEL","5","700131011.0","Glenhazel","Glenhazel"
"GP","TSHIAWELO","5","700110718.0","Tshiawelo","Tshiawelo"
"GP","PRETORIA NORTH","5","700240028.0","Pretoria North","Pretoria North"
"GP","PARKVIEW","5","700130609.0","Parkview","Parkview"
"GP","MOLAPO","5","700121525.0","Molapo","Molapo"
"GP","MOROKA","5","700121400.0","Moroka","Moroka"
"GP","OBSERVATORY","5","700131078.0","Observatory","Observatory"
"GP","MAYFAIR","5","700130286.0","Mayfair","Mayfair"
"GP","CROSBY","5","700130054.0","Crosby","Crosby"
"GP","MAGALIESBURG","5","700250209.0","Magaliesburg","Magaliesburg"
"GP","RHODESFIELD","5","700260133.0","Rhodesfield","Rhodesfield"
"GP","PRESIDENT PARK","5","700400003.0","President Park","President Park"
"GP","DAWN PARK","5","700162115.0","Dawn Park","Dawn Park"
"GP","KAGISO 2","5","700251264.0","Kagiso 2","Kagiso 2"
"GP","KHUTSONG","5","700270603.0","Khutsong","Khutsong"
"GP","QUEENSWOOD","5","700220103.0","Queenswood","Queenswood"
"GP","CARLETONVILLE","5","700270041.0","Carletonville","Carletonville"
"GP","RANDFONTEIN","5","700270116.0","Randfontein","Randfontein"
"GP","LAMBTON","5","700160275.0","Lambton","Lambton"
"GP","WESTONARIA","5","700270132.0","Westonaria","Westonaria"
"GP","FOREST HILL","5","700120501.0","Forest Hill","Forest Hill"
"GP","BLOCK P","4","700240507.0","Block P","Block P"
"GP","EXTENSION 3","4","700120014.0","Extension 3","Extension 3"
"GP","BLOCK H","4","700240614.0","Block H","Block H"
"GP","RIDGEWAY","4","700120527.0","Ridgeway","Ridgeway"
"GP","BLOCK G","4","700240663.0","Block G","Block G"
"GP","PROTEA GLEN","4","700111203.0","Protea Glen","Protea Glen"
"GP","WONDERBOOM","4","700240077.0","Wonderboom","Wonderboom"
"GP","TLADI","4","700110882.0","Tladi","Tladi"
"GP","MAYVILLE","4","700230938.0","Mayville","Mayville"
"GP","MONDEOR","4","700110478.0","Mondeor","Mondeor"
"GP","GERMISTON SOUTH","4","700160473.0","Germiston South","Germiston South"
"GP","NEW DOORNFONTEIN","4","700122234.0","New Doornfontein","New Doornfontein"
"GP","CAPITAL PARK","4","700230391.0","Capital Park","Capital Park"
"GP","THERESAPARK","4","700240325.0","Theresapark","Theresapark"
"GP","BAPSFONTEIN","4","700211276.0","Bapsfontein","Bapsfontein"
"GP","DOORNFONTEIN","4","700130575.0","Doornfontein","Doornfontein"
"GP","ORCHARDS","4","700130799.0","Orchards","Orchards"
"GP","VILLIERIA","4","700220178.0","Villieria","Villieria"
"GP","EDLEEN","4","700260075.0","Edleen","Edleen"
"GP","KHUTSONG LOCATION","4","700270801.0","Khutsong Location","Khutsong Location"
"GP","BEKKERSDAL","4","700270769.0","Bekkersdal","Bekkersdal"
"GP","DANVILLE","4","700230326.0","Danville","Danville"
"GP","LINBRO PARK","4","700151803.0","Linbro Park","Linbro Park"
"GP","MUNSIEVILLE","4","700251314.0","Munsieville","Munsieville"
"GP","SUNNINGHILL","4","700152752.0","Sunninghill","Sunninghill"
"GP","NOORDHEUWEL","4","700250266.0","Noordheuwel","Noordheuwel"
"GP","KRUGERSDORP","4","700250241.0","Krugersdorp","Krugersdorp"
"GP","CARLSWALD","4","700400547.0","Carlswald","Carlswald"
"GP","KLIPSPRUIT","4","700121228.0","Klipspruit","Klipspruit"
"GP","KLIPDRIFT","4","700240671.0","Klipdrift","Klipdrift"
"GP","FORDSBURG","4","700133371.0","Fordsburg","Fordsburg"
"GP","FAIRLAND","4","700133892.0","Fairland","Fairland"
"GP","ZITHOBENI","4","700211359.0","Zithobeni","Zithobeni"
"GP","ZONE 13","4","700320911.0","Zone 13","Zone 13"
"GP","BRONKHORSTSPRUIT","4","700210179.0","Bronkhorstspruit","Bronkhorstspruit"
"GP","CULLINAN","4","700210096.0","Cullinan","Cullinan"
"GP","BLOCK F","4","700240572.0","Block F","Block F"
"GP","BLAIRGOWRIE","4","700150110.0","Blairgowrie","Blairgowrie"
"GP","ZONE 7B","4","700320804.0","Zone 7 B","Zone 7 B"
"GP","FARRARMERE","4","700310144.0","Farrarmere","Farrarmere"
"GP","HONEYDEW","4","700150797.0","Honeydew","Honeydew"
