"province","raw_locality","school_count","sample_emis","normalized_suggestion","reviewer_decision"
"KZN","UNALLOCATED","1163","500290561","Unallocated","Unallocated"
"KZN","NONGOMA","92","500193510","Nongoma","Nongoma"
"KZN","NKANDLA","46","500237577","Nkandla","Nkandla"
"KZN","MTUBATUBA","46","500194139","Mtubatuba","Mtubatuba"
"KZN","UMZIMKULU","45","500442446","Umzimkulu","Umzimkulu"
"KZN","NQUTHU","41","500207385","Nquthu","Nquthu"
"KZN","UMLAZI","39","500225737","Umlazi","Umlazi"
"KZN","EMPANGENI","39","500401783","Empangeni","Empangeni"
"KZN","MAHLABATHINI","34","500324231","Mahlabathini","Mahlabathini"
"KZN","ESHOWE","34","500126725","Eshowe","Eshowe"
"KZN","PONGOLA","31","500287527","Pongola","Pongola"
"KZN","NDWEDWE","31","500226181","Ndwedwe","Ndwedwe"
"KZN","OSIZWENI","30","500231287","Osizweni","Osizweni"
"KZN","UMZIMKHULU","29","500423576","Umzimkhulu","Umzimkhulu"
"KZN","INANDA","28","500207755","Inanda","Inanda"
"KZN","MAPHUMULO","28","500443223","Maphumulo","Maphumulo"
"KZN","JOZINI","25","500110297","Jozini","Jozini"
"KZN","INGWAVUMA","23","500222000","Ingwavuma","Ingwavuma"
"KZN","KWAMASHU","23","500220483","Kwamashu","Kwamashu"
"KZN","KWANGWANASE","23","500271025","Kwangwanase","Kwangwanase"
"KZN","MADADENI","22","500447441","Madadeni","Madadeni"
"KZN","BERGVILLE","21","500229030","Bergville","Bergville"
"KZN","WASBANK","21","500294668","Wasbank","Wasbank"
"KZN","PAULPIETERSBURG","19","500245828","Paulpietersburg","Paulpietersburg"
"KZN","ULUNDI","19","500228882","Ulundi","Ulundi"
"KZN","UMZINTO","19","500111111","Umzinto","Umzinto"
"KZN","NORTHDALE","19","500305435","Northdale","Northdale"
"KZN","VRYHEID","18","500280460","Vryheid","Vryheid"
"KZN","DURBAN","18","500227439","Durban","Durban"
"KZN","LADYSMITH","18","500124505","Ladysmith","Ladysmith"
"KZN","HLUHLUWE","17","500230658","Hluhluwe","Hluhluwe"
"KZN","ESIKHAWINI","17","500211973","Esikhawini","Esikhawini"
"KZN","HLABISA","17","500223924","Hlabisa","Hlabisa"
"KZN","TUGELA FERRY","15","500233655","Tugela Ferry","Tugela Ferry"
"KZN","EMONDLO","15","500229622","Emondlo","Emondlo"
"KZN","HIGHFLATS","15","500193029","Highflats","Highflats"
"KZN","UMBUMBULU","14","500169756","Umbumbulu","Umbumbulu"
"KZN","PHOENIX","14","500249232","Phoenix","Phoenix"
"KZN","HARDING","14","500427239","Harding","Harding"
"KZN","KOKSTAD","14","500281866","Kokstad","Kokstad"
"KZN","HIBBERDENE","13","500266733","Hibberdene","Hibberdene"
"KZN","POMEROY","13","500344100","Pomeroy","Pomeroy"
"KZN","NEWCASTLE","13","500267917","Newcastle","Newcastle"
"KZN","MBAZWANA","13","500215932","Mbazwana","Mbazwana"
"KZN","IXOPO","13","500294964","Ixopo","Ixopo"
"KZN","HILLCREST","13","500407777","Hillcrest","Hillcrest"
"KZN","MELMOTH","12","500207348","Melmoth","Melmoth"
"KZN","KRANSKOP","12","500283531","Kranskop","Kranskop"
"KZN","IMPENDLE","12","500241055","Impendle","Impendle"
"KZN","GREYTOWN","12","500162504","Greytown","Greytown"
"KZN","KWAMBONAMBI","11","500229585","Kwambonambi","Kwambonambi"
"KZN","DURBAN NORTH","11","500499426","Durban North","Durban North"
"KZN","CHATSWORTH","11","500340918","Chatsworth","Chatsworth"
"KZN","NTUZUMA","11","500221001","Ntuzuma","Ntuzuma"
"KZN","IZINGOLWENI","11","500209235","Izingolweni","Izingolweni"
"KZN","UMZUMBE","11","500195397","Umzumbe","Umzumbe"
"KZN","STANGER","11","500149554","Stanger","Stanger"
"KZN","RICHMOND","11","500146557","Richmond","Richmond"
"KZN","ELANDSKOP","11","500223961","Elandskop","Elandskop"
"KZN","EZAKHENI","11","500168794","Ezakheni","Ezakheni"
"KZN","EDENDALE","11","500230695","Edendale","Edendale"
"KZN","ESTCOURT","11","500255929","Estcourt","Estcourt"
"KZN","PINETOWN","11","500155178","Pinetown","Pinetown"
"KZN","GINGINDLOVU","10","500209642","Gingindlovu","Gingindlovu"
"KZN","CEZA","10","500129426","Ceza","Ceza"
"KZN","SCOTTSVILLE","10","500275835","Scottsville","Scottsville"
"KZN","MID-ILLOVO","10","500216931","Mid Illovo","Mid Illovo"
"KZN","KWAMACHI","10","500211381","Kwamachi","Kwamachi"
"KZN","WARTBURG","10","500148296","Wartburg","Wartburg"
"KZN","N/A","10","500240722","N/A","N/A"
"KZN","DUNDEE","9","500124727","Dundee","Dundee"
"KZN","AMANZIMTOTI","9","500160876","Amanzimtoti","Amanzimtoti"
"KZN","ISIPINGO","9","500293891","Isipingo","Isipingo"
"KZN","BULWER","8","500107892","Bulwer","Bulwer"
"KZN","MORNINGSIDE","8","500170237","Morningside","Morningside"
"KZN","PIETERMARITZBURG","8","500209790","Pietermaritzburg","Pietermaritzburg"
"KZN","MONTFORD","8","500214674","Montford","Montford"
"KZN","MANDENI","8","500447626","Mandeni","Mandeni"
"KZN","SYDENHAM","8","500113775","Sydenham","Sydenham"
"KZN","MEREBANK","8","500401487","Merebank","Merebank"
"KZN","PORT SHEPSTONE","8","500207200","Port Shepstone","Port Shepstone"
