"province","raw_locality","school_count","sample_emis","normalized_suggestion","reviewer_decision"
"LP","POLOKWANE","135","904210722.0","Polokwane","Polokwane"
"LP","GIYANI","121","911410591.0","Giyani","Giyani"
"LP","BURGERSFORT","67","925610209.0","Burgersfort","Burgersfort"
"LP","MALAMULELE","51","911360061.0","Malamulele","Malamulele"
"LP","GROBLERSDAL","42","905651132.0","Groblersdal","Groblersdal"
"LP","MOKOPANE","37","906250195.0","Mokopane","Mokopane"
"LP","NZHELELE","36","928330015.0","Nzhelele","Nzhelele"
"LP","BOLOBEDU","36","901510620.0","Bolobedu","Bolobedu"
"LP","MARBLEHALL","36","906120348.0","Marblehall","Marblehall"
"LP","MAKHADO","34","902331711.0","Makhado","Makhado"
"LP","BAKENBERG","34","921140106.0","Bakenberg","Bakenberg"
"LP","JANEFURSE","33","925610438.0","Janefurse","Janefurse"
"LP","GAMPHAHLELE","33","923260031.0","Gamphahlele","Gamphahlele"
"LP","SESHEGO","31","922220699.0","Seshego","Seshego"
"LP","TZANEEN","30","918510545.0","Tzaneen","Tzaneen"
"LP","DZANANI","30","928330114.0","Dzanani","Dzanani"
"LP","THOHOYANDOU","30","905332030.0","Thohoyandou","Thohoyandou"
"LP","SIBASA","27","930310882.0","Sibasa","Sibasa"
"LP","GAMOLEPO","24","921231026.0","Gamolepo","Gamolepo"
"LP","LEPHALALE","24","908110020.0","Lephalale","Lephalale"
"LP","TRICHARDTSDAL","24","926540034.0","Trichardtsdal","Trichardtsdal"
"LP","SEKHUKHUNE","24","925610049.0","Sekhukhune","Sekhukhune"
"LP","NEBO","23","924640378.0","Nebo","Nebo"
"LP","ZEBEDIELA","20","906230955.0","Zebediela","Zebediela"
"LP","BOCHUM","20","920210111.0","Bochum","Bochum"
"LP","MASHASHANE","20","904220910.0","Mashashane","Mashashane"
"LP","ELIM","19","912331056.0","Elim","Elim"
"LP","LENYENYE","19","915530174.0","Lenyenye","Lenyenye"
"LP","VUWANI","19","930320889.0","Vuwani","Vuwani"
"LP","LEBOWAKGOMO","19","923260109.0","Lebowakgomo","Lebowakgomo"
"LP","GAMAMABOLO","18","904241092.0","Gamamabolo","Gamamabolo"
"LP","MOETLADIMO","18","926540140.0","Moetladimo","Moetladimo"
"LP","KGAPANE","17","918510057.0","Kgapane","Kgapane"
"LP","HLANGANANI","16","912521491.0","Hlanganani","Hlanganani"
"LP","REBONE","16","906111696.0","Rebone","Rebone"
"LP","STEELPOORT","15","925660242.0","Steelpoort","Steelpoort"
"LP","SELEKA","15","906111771.0","Seleka","Seleka"
"LP","MASHAU","15","905321585.0","Mashau","Mashau"
"LP","THOYANDOU","15","930360214.0","Thoyandou","Thoyandou"
"LP","MOLETJIE","15","922210234.0","Moletjie","Moletjie"
"LP","DRIEKOP","14","925630203.0","Driekop","Driekop"
"LP","NAMAKGALE","14","913420093.0","Namakgale","Namakgale"
"LP","PHALABORWA","13","903420086.0","Phalaborwa","Phalaborwa"
"LP","DENNILTON","13","924650115.0","Dennilton","Dennilton"
"LP","MODJADJI","13","918510606.0","Modjadji","Modjadji"
"LP","MAPELA","13","921120096.0","Mapela","Mapela"
"LP","THABAZIMBI","13","909130154.0","Thabazimbi","Thabazimbi"
"LP","MOKAMOLE","13","921140038.0","Mokamole","Mokamole"
"LP","LULEKANI","12","903420499.0","Lulekani","Lulekani"
"LP","MOLOTOTSI","12","918510118.0","Molototsi","Molototsi"
"LP","KUTAMA","12","928331988.0","Kutama","Kutama"
"LP","SHILUVANE","11","915530266.0","Shiluvane","Shiluvane"
"LP","SOVENGA","11","923240051.0","Sovenga","Sovenga"
"LP","GAMAMAILA","11","912361606.0","Gamamaila","Gamamaila"
"LP","LWAMONDO","11","930320230.0","Lwamondo","Lwamondo"
"LP","SEKGOPO","11","901340401.0","Sekgopo","Sekgopo"
"LP","RADITSHABA","11","906211053.0","Raditshaba","Raditshaba"
"LP","MAKONDE","11","929310806.0","Makonde","Makonde"
"LP","Marble Hall","10","996606805.0","Marble Hall","Marble Hall"
"LP","GOMPIES","10","921230153.0","Gompies","Gompies"
"LP","GAMATLALA","9","904225755.0","Gamatlala","Gamatlala"
"LP","MATOKS","9","919340357.0","Matoks","Matoks"
"LP","LETSITELE","9","901531122.0","Letsitele","Letsitele"
"LP","MUSINA","9","902331698.0","Musina","Musina"
"LP","TAFELKOP","9","924650023.0","Tafelkop","Tafelkop"
