"province","raw_locality","school_count","sample_emis","normalized_suggestion","reviewer_decision"
"MP","KWAMHLANGA","43","800014167","Kwamhlanga","Kwamhlanga"
"MP","UNALLOCATED","36","800035495","Unallocated","Unallocated"
"MP","KABOKWENI","36","800035496","Kabokweni","Kabokweni"
"MP","BUSHBUCKRIDGE","29","800035484","Bushbuckridge","Bushbuckridge"
"MP","PIET RETIEF","22","800000943","Piet Retief","Piet Retief"
"MP","SIYABUSWA","22","800001396","Siyabuswa","Siyabuswa"
"MP","ACORNHOEK","21","800034853","Acornhoek","Acornhoek"
"MP","ERMELO","20","800014514","Ermelo","Ermelo"
"MP","WHITE RIVER","19","800003525","White River","White River"
"MP","XIMHUNGWE","18","800035493","Ximhungwe","Ximhungwe"
"MP","HAZYVIEW","16","800035018","Hazyview","Hazyview"
"MP","BARBERTON","16","800000653","Barberton","Barberton"
"MP","DUNDONALD","15","800003269","Dundonald","Dundonald"
"MP","KANYAMAZANE","15","800001727","Kanyamazane","Kanyamazane"
"MP","MIDDELBURG","13","800003160","Middelburg","Middelburg"
"MP","MALELANE","13","800000430","Malelane","Malelane"
"MP","MARITE","13","800035482","Marite","Marite"
"MP","eMALAHLENI","12","800003426","E Malahleni","E Malahleni"
"MP","TWEEFONTEIN","12","800014340","Tweefontein","Tweefontein"
"MP","SHONGWE MISSION","11","800001875","Shongwe Mission","Shongwe Mission"
"MP","ELUKWATINI","11","800000620","Elukwatini","Elukwatini"
"MP","MPULUZI","10","800004028","Mpuluzi","Mpuluzi"
"MP","MATSULU","10","800000455","Matsulu","Matsulu"
"MP","BETHAL","10","800000471","Bethal","Bethal"
"MP","SAKHILE","10","800005405","Sakhile","Sakhile"
"MP","MBOMBELA","10","800001867","Mbombela","Mbombela"
"MP","SECUNDA","9","800005116","Secunda","Secunda"
"MP","NULL","9","800000737","Null","Null"
"MP","VOLKSRUST","9","800003806","Volksrust","Volksrust"
"MP","EMBALENHLE","9","800000067","Embalenhle","Embalenhle"
"MP","STANDERTON","9","800003053","Standerton","Standerton"
"MP","AMSTERDAM","8","800003608","Amsterdam","Amsterdam"
"MP","MHLUZI","8","800003335","Mhluzi","Mhluzi"
"MP","MKHUHLU","7","800035058","Mkhuhlu","Mkhuhlu"
"MP","MBIBANE","7","800003558","Mbibane","Mbibane"
"MP","SEABE","7","800005561","Seabe","Seabe"
"MP","TEKWANE","7","800003038","Tekwane","Tekwane"
"MP","MASHISHING","7","800005165","Mashishing","Mashishing"
"MP","NKOMAZI","7","800004424","Nkomazi","Nkomazi"
"MP","DELMAS","7","800005769","Delmas","Delmas"
"MP","PANKOP","7","800012112","Pankop","Pankop"
"MP","WELTEVREDE","7","800001495","Weltevrede","Weltevrede"
"MP","HLUVUKANI","6","800034938","Hluvukani","Hluvukani"
"MP","KWAGGAFONTEIN","6","800003673","Kwaggafontein","Kwaggafontein"
"MP","LOTHAIR","6","800002196","Lothair","Lothair"
"MP","BADPLAAS","6","800000166","Badplaas","Badplaas"
"MP","CAROLINA","6","800000406","Carolina","Carolina"
"MP","DAANTJIE TRUST","6","800001347","Daantjie Trust","Daantjie Trust"
