"province","raw_locality","school_count","sample_emis","normalized_suggestion","reviewer_decision"
"NC","MOTHIBISTAD","20","300100055","Mothibistad","Mothibistad"
"NC","KURUMAN","12","300045207","Kuruman","Kuruman"
"NC","VERGENOEG","12","300011204","Vergenoeg","Vergenoeg"
"NC","NULL","9","300022215","Null","Null"
"NC","PAMPIERSTAD","9","300100415","Pampierstad","Pampierstad"
"NC","UPINGTON","8","300041101","Upington","Upington"
"NC","NEW PARK","7","300011220","New Park","New Park"
"NC","GALESHEWE","7","300011207","Galeshewe","Galeshewe"
"NC","PRIESKA","7","300022202","Prieska","Prieska"
"NC","JAN KEMPDORP","6","300012206","Jan Kempdorp","Jan Kempdorp"
"NC","KATHU","5","300044209","Kathu","Kathu"
"NC","POSTMASBURG","5","300044211","Postmasburg","Postmasburg"
"NC","HARTSWATER","5","300012210","Hartswater","Hartswater"
"NC","HOMEVALE","5","300012402","Homevale","Homevale"
"NC","DE AAR","5","300021101","De Aar","De Aar"
"NC","DOUGLAS","5","300011202","Douglas","Douglas"
"NC","KAKAMAS","5","300042215","Kakamas","Kakamas"
"NC","IKHUTSENG","4","300017213","Ikhutseng","Ikhutseng"
"NC","VICTORIA-WES","4","300024209","Victoria Wes","Victoria Wes"
"NC","LOOPENG VILLAGE","4","300100201","Loopeng","Loopeng"
"NC","PESCODIA","4","300014206","Pescodia","Pescodia"
"NC","FLORIANVILLE","4","300011401","Florianville","Florianville"
"NC","SPRINGBOK","4","300031201","Springbok","Springbok"
"NC","ALEXANDERBAY","4","300031203","Alexanderbay","Alexanderbay"
"NC","KEIMOES","4","300042220","Keimoes","Keimoes"
"NC","TSINENG VILLAGE","4","300100774","Tsineng","Tsineng"
"NC","BATLHAROS","4","300100405","Batlharos","Batlharos"
"NC","CASSEL VILLAGE","4","300100760","Cassel","Cassel"
"NC","LOUISVALE","4","300041212","Louisvale","Louisvale"
"NC","PABALLELO","4","300041215","Paballelo","Paballelo"
"NC","MATALENG","3","300013202","Mataleng","Mataleng"
"NC","MORNING GLORY","3","300041217","Morning Glory","Morning Glory"
"NC","BOTHITHONG VILLAGE","3","300100383","Bothithong","Bothithong"
"NC","AGGENEYS","3","300034206","Aggeneys","Aggeneys"
"NC","WILLISTON","3","300033304","Williston","Williston"
"NC","LOERIESFONTEIN","3","300033211","Loeriesfontein","Loeriesfontein"
"NC","CALVINIA","3","300033204","Calvinia","Calvinia"
"NC","FRASERBURG","3","300032212","Fraserburg","Fraserburg"
"NC","GARIES","3","300032203","Garies","Garies"
"NC","NABABEEP","3","300031302","Nababeep","Nababeep"
"NC","PORT NOLLOTH","3","300031209","Port Nolloth","Port Nolloth"
"NC","GROBLERSHOOP","3","300043213","Groblershoop","Groblershoop"
"NC","POSTDENE","3","300044201","Postdene","Postdene"
"NC","BELGRAVIA","3","300011403","Belgravia","Belgravia"
"NC","MAGOGONG","3","300012208","Magogong","Magogong"
"NC","HANOVER","3","300023210","Hanover","Hanover"
"NC","KUYASA","3","300023203","Kuyasa","Kuyasa"
"NC","KAGUNG VILLAGE","3","300101617","Kagung","Kagung"
"NC","SEODING VILLAGE","3","300100817","Seoding","Seoding"
"NC","NONZWAKAZI LOCATION","3","300021202","Nonzwakazi Location","Nonzwakazi Location"
"NC","MARUPING VILLAGE","3","300101123","Maruping","Maruping"
"NC","VALSPAN","3","300017214","Valspan","Valspan"
"NC","OLIFANTSHOEK","3","300044212","Olifantshoek","Olifantshoek"
"NC","KENHARDT","2","300034305","Kenhardt","Kenhardt"
"NC","GREENPOINT","2","300016203","Greenpoint","Greenpoint"
"NC","MAIPEING VILLAGE","2","300101010","Maipeing","Maipeing"
"NC","MADIBENG VILLAGE","2","300100971","Madibeng","Madibeng"
"NC","DITHAKONG VILLAGE","2","300100869","Dithakong","Dithakong"
"NC","CHURCHILL VILLAGE","2","300100754","Churchill","Churchill"
"NC","KGANWANE VILLAGE","2","300100646","Kganwane","Kganwane"
"NC","PIETERSHAM VILLAGE","2","300100629","Pietersham","Pietersham"
"NC","DIKHING VILLAGE","2","300100526","Dikhing","Dikhing"
"NC","GLENRED VILLAGE","2","300100441","Glenred","Glenred"
"NC","WARRENTON","2","300017203","Warrenton","Warrenton"
"NC","BENDELL VILLAGE","2","300100429","Bendell","Bendell"
"NC","PERTH VILLAGE","2","300100426","Perth","Perth"
"NC","NCWELENGWE VILLAGE","2","300100421","Ncwelengwe","Ncwelengwe"
"NC","KIMBERLEY","2","300011224","Kimberley","Kimberley"
"NC","GAMORONA VILLAGE","2","300100406","Gamorona","Gamorona"
"NC","BREIPAAL","2","300011302","Breipaal","Breipaal"
"NC","KAMDEN VILLAGE","2","300100395","Kamden","Kamden"
"NC","GADIBOE VILLAGE","2","300100387","Gadiboe","Gadiboe"
"NC","BOTHETHELETSA VILLAGE","2","300100208","Bothetheletsa","Bothetheletsa"
"NC","LAXEY VILLAGE","2","300100166","Laxey","Laxey"
"NC","DEERWARD VILLAGE","2","300100134","Deerward","Deerward"
"NC","HAPPY VALLEY","2","300021201","Happy Valley","Happy Valley"
"NC","HEUNINGVLEI","2","300100037","Heuningvlei","Heuningvlei"
"NC","WRENCHVILLE","2","300045218","Wrenchville","Wrenchville"
"NC","HOTAZEL","2","300045209","Hotazel","Hotazel"
"NC","PHILLIPSTOWN","2","300021208","Phillipstown","Phillipstown"
"NC","HADISON PARK","2","300011501","Hadison Park","Hadison Park"
"NC","KUILSVILLE","2","300045203","Kuilsville","Kuilsville"
"NC","COLVILLE","2","300012212","Colville","Colville"
"NC","PETRUSVILLE","2","300021304","Petrusville","Petrusville"
"NC","BOICHOKO","2","300044205","Boichoko","Boichoko"
"NC","DEBEN","2","300044203","Deben","Deben"
"NC","GROOTDRINK","2","300043302","Grootdrink","Grootdrink"
"NC","DE BEERSHOOGTE","2","300012301","De Beershoogte","De Beershoogte"
"NC","STEYNVILLE","2","300022214","Steynville","Steynville"
"NC","AKASIAPARK","2","300042306","Akasiapark","Akasiapark"
"NC","BATLHAROS VILLAGE","2","300101373","Batlharos","Batlharos"
"NC","BRITSTOWN","2","300022303","Britstown","Britstown"
"NC","ROSEDALE","2","300041401","Rosedale","Rosedale"
"NC","BRANDVLEI","2","300034205","Brandvlei","Brandvlei"
"NC","NIEUWOUDTVILLE","2","300033306","Nieuwoudtville","Nieuwoudtville"
"NC","SUTHERLAND","2","300033303","Sutherland","Sutherland"
"NC","TIDIMALO","2","300013216","Tidimalo","Tidimalo"
"NC","CALVINIA-WES","2","300033206","Calvinia Wes","Calvinia Wes"
"NC","BERGSIG","2","300032301","Bergsig","Bergsig"
"NC","BARKLY WES","2","300013306","Barkly Wes","Barkly Wes"
"NC","STEINKOPF","2","300031205","Steinkopf","Steinkopf"
"NC","CONCORDIA","2","300031202","Concordia","Concordia"
"NC","COLESBERG","2","300023302","Colesberg","Colesberg"
"NC","NOUPOORT","2","300023303","Noupoort","Noupoort"
"NC","RICHMOND","2","300024301","Richmond","Richmond"
"NC","RIETVALE","2","300014208","Rietvale","Rietvale"
"NC","RIVERSIDE","2","300024202","Riverside","Riverside"
"NC","VOSBURG","1","300024203","Vosburg","Vosburg"
"NC","DOMBIETERSFONTE","1","300024204","Dombietersfonte","Dombietersfonte"
"NC","HUTCHINSON","1","300024206","Hutchinson","Hutchinson"
"NC","LOXTON","1","300024207","Loxton","Loxton"
"NC","KWAZAMUXOLO","1","300023401","Kwazamuxolo","Kwazamuxolo"
"NC","PAMPOENPOORT","1","300024215","Pampoenpoort","Pampoenpoort"
"NC","LOWRYVILLE","1","300023304","Lowryville","Lowryville"
"NC","CARNARVON","1","300024302","Carnarvon","Carnarvon"
"NC","SABELO","1","300024305","Sabelo","Sabelo"
"NC","KIMBERLEY NOORD","1","300014204","Kimberley Noord","Kimberley Noord"
"NC","EUREKAVILLE","1","300023301","Eurekaville","Eurekaville"
"NC","MONUMENT HEIGHTS","1","300014203","Monument Heights","Monument Heights"
