"province","raw_locality","school_count","sample_emis","normalized_suggestion","reviewer_decision"
"NW","RUSTENBURG","105","600100015","Rustenburg","Rustenburg"
"NW","UNALLOCATED","67","600104074","Unallocated","Unallocated"
"NW","MAHIKENG","67","600100030","Mahikeng","Mahikeng"
"NW","Rustenburg","66","600100061","Rustenburg","Rustenburg"
"NW","TAUNG","58","600105482","Taung","Taung"
"NW","BRITS","48","600100010","Brits","Brits"
"NW","MAFIKENG","45","600100006","Mafikeng","Mafikeng"
"NW","ZEERUST","45","600101374","Zeerust","Zeerust"
"NW","POTCHEFSTROOM","35","600100107","Potchefstroom","Potchefstroom"
"NW","KLERKSDORP","28","600100018","Klerksdorp","Klerksdorp"
"NW","LICHTENBURG","26","600100118","Lichtenburg","Lichtenburg"
"NW","VRYBURG","25","600100185","Vryburg","Vryburg"
"NW","HAMMANSKRAAL","22","600100046","Hammanskraal","Hammanskraal"
"NW","ITSOSENG","21","600100003","Itsoseng","Itsoseng"
"NW","Brits","20","600100065","Brits","Brits"
"NW","MOROKWENG","19","600100071","Morokweng","Morokweng"
"NW","GANYESA","18","600100191","Ganyesa","Ganyesa"
"NW","DELAREYVILLE","18","600100170","Delareyville","Delareyville"
"NW","Mahikeng","16","600100141","Mahikeng","Mahikeng"
"NW","MADIKWE","15","600100211","Madikwe","Madikwe"
"NW","Mafikeng","15","600100119","Mafikeng","Mafikeng"
"NW","Klerksdorp","14","600100205","Klerksdorp","Klerksdorp"
"NW","TEMBA","14","600100133","Temba","Temba"
"NW","MMABATHO","13","600100155","Mmabatho","Mmabatho"
"NW","Zeerust","13","600100069","Zeerust","Zeerust"
"NW","Potchefstroom","12","600100012","Potchefstroom","Potchefstroom"
"NW","VENTERSDORP","12","600100167","Ventersdorp","Ventersdorp"
"NW","STILFONTEIN","11","600100009","Stilfontein","Stilfontein"
"NW","Mmabatho","10","600100228","Mmabatho","Mmabatho"
"NW","COLIGNY","10","600100109","Coligny","Coligny"
"NW","Taung","10","600100445","Taung","Taung"
"NW","ORKNEY","9","600100027","Orkney","Orkney"
"NW","LEHURUTSHE","9","600100040","Lehurutshe","Lehurutshe"
"NW","Delareyville","9","600100186","Delareyville","Delareyville"
"NW","Wolmaransstad","8","600100143","Wolmaransstad","Wolmaransstad"
"NW","LETLHABILE","8","600100353","Letlhabile","Letlhabile"
"NW","JOUBERTON","8","600100238","Jouberton","Jouberton"
"NW","TAUNG STATION","8","600100142","Taung Station","Taung Station"
"NW","Mogwase","8","600100599","Mogwase","Mogwase"
"NW","WOLMARANSSTAD","8","600100187","Wolmaransstad","Wolmaransstad"
"NW","MAKAPANSTAD","8","600100528","Makapanstad","Makapanstad"
"NW","MADIBOGO","8","600100381","Madibogo","Madibogo"
"NW","SCHWEIZER-RENEKE","8","600100503","Schweizer Reneke","Schweizer Reneke"
"NW","ATAMELANG","7","600100192","Atamelang","Atamelang"
"NW","HARTBEESFONTEIN","7","600100057","Hartbeesfontein","Hartbeesfontein"
"NW","SWARTRUGGENS","7","600100430","Swartruggens","Swartruggens"
"NW","SANNIESHOF","7","600100041","Sannieshof","Sannieshof"
"NW","BLOEMHOF","6","600100413","Bloemhof","Bloemhof"
"NW","Ventersdorp","6","600100899","Ventersdorp","Ventersdorp"
"NW","Ganyesa","6","600100518","Ganyesa","Ganyesa"
"NW","MABOPANE","6","600100341","Mabopane","Mabopane"
"NW","PUDIMOE","6","600100237","Pudimoe","Pudimoe"
"NW","Stilfontein","5","600100805","Stilfontein","Stilfontein"
"NW","KANANA","5","600100032","Kanana","Kanana"
"NW","MOGWASE","5","600100511","Mogwase","Mogwase"
"NW","IKAGENG","5","600100970","Ikageng","Ikageng"
"NW","CHRISTIANA","5","600100432","Christiana","Christiana"
"NW","PHOKENG","5","600100048","Phokeng","Phokeng"
"NW","Madibogo","5","600100455","Madibogo","Madibogo"
"NW","OTTOSDAL","5","600100866","Ottosdal","Ottosdal"
"NW","HEBRON","5","600101448","Hebron","Hebron"
"NW","Itsoseng","5","600100292","Itsoseng","Itsoseng"
