"province","raw_locality","school_count","sample_emis","normalized_suggestion","reviewer_decision"
"WC","Witzenberg NU","31","126330949","Witzenberg Nu","Witzenberg Nu"
"WC","Langeberg NU","31","117337692","Langeberg Nu","Langeberg Nu"
"WC","Breede Valley NU","20","130330272","Breede Valley Nu","Breede Valley Nu"
"WC","Gugulethu SP","17","106042108","Gugulethu Sp","Gugulethu Sp"
"WC","Drakenstein NU","17","108006030","Drakenstein Nu","Drakenstein Nu"
"WC","Bonteheuwel","16","102480037","Bonteheuwel","Bonteheuwel"
"WC","Wynberg","16","100000030","Wynberg","Wynberg"
"WC","Theewaterskloof NU","15","100000288","Theewaterskloof Nu","Theewaterskloof Nu"
"WC","Stellenbosch NU","14","100000153","Stellenbosch Nu","Stellenbosch Nu"
"WC","George NU","13","100000648","George Nu","George Nu"
"WC","Manenberg","13","105008404","Manenberg","Manenberg"
"WC","Lotus River","13","105006043","Lotus River","Lotus River"
"WC","Claremont","13","100000055","Claremont","Claremont"
"WC","Rocklands","12","106490083","Rocklands","Rocklands"
"WC","Oudtshoorn NU","12","118356409","Oudtshoorn Nu","Oudtshoorn Nu"
"WC","Zonnebloem","12","100000784","Zonnebloem","Zonnebloem"
"WC","Portland","11","100000622","Portland","Portland"
"WC","Rondebosch","11","105000805","Rondebosch","Rondebosch"
"WC","Cederberg NU","11","136331058","Cederberg Nu","Cederberg Nu"
"WC","Strand SP","10","100000361","Strand Sp","Strand Sp"
"WC","Tafelsig","10","100000268","Tafelsig","Tafelsig"
"WC","Oudtshoorn SP","10","100000318","Oudtshoorn Sp","Oudtshoorn Sp"
"WC","Lentegeur","10","106490024","Lentegeur","Lentegeur"
"WC","Langa SP","9","102041321","Langa Sp","Langa Sp"
"WC","Bishop Lavis SP","9","102480096","Bishop Lavis Sp","Bishop Lavis Sp"
"WC","Delft SP","9","100000126","Delft Sp","Delft Sp"
"WC","Mfuleni SP","9","100000740","Mfuleni Sp","Mfuleni Sp"
"WC","Matzikama NU","9","137346942","Matzikama Nu","Matzikama Nu"
"WC","Retreat","9","105310360","Retreat","Retreat"
"WC","Swartland NU","9","132328049","Swartland Nu","Swartland Nu"
"WC","Swellendam NU","9","113336068","Swellendam Nu","Swellendam Nu"
"WC","Nomzamo SP","8","100000217","Nomzamo Sp","Nomzamo Sp"
"WC","CITY OF CAPE TOWN","8","100000825","City Of Cape Town","City Of Cape Town"
"WC","New Crossroads","8","106042101","New Crossroads","New Crossroads"
"WC","Ikwezi Park","7","106041213","Ikwezi Park","Ikwezi Park"
"WC","Browns Farms","7","106005107","Browns Farms","Browns Farms"
"WC","Beacon Valley","7","106006003","Beacon Valley","Beacon Valley"
"WC","Westridge(Mitchells Plain)","7","106490113","Westridge(mitchells Plain)","Westridge(mitchells Plain)"
"WC","Robertson SP","7","100000833","Robertson Sp","Robertson Sp"
"WC","Village V2 North","7","106008397","Village V2 North","Village V2 North"
"WC","Ravensmead","7","101008377","Ravensmead","Ravensmead"
"WC","Pinelands","7","100000364","Pinelands","Pinelands"
"WC","Crossroads SP","7","102041344","Crossroads Sp","Crossroads Sp"
"WC","Bergrivier NU","7","133470155","Bergrivier Nu","Bergrivier Nu"
"WC","Cape Metro","7","100000651","Cape Metro","Cape Metro"
"WC","Plumstead","7","105304604","Plumstead","Plumstead"
"WC","Kannaland NU","6","122356026","Kannaland Nu","Kannaland Nu"
"WC","Scottsdene","6","100000626","Scottsdene","Scottsdene"
"WC","Grassy Park SP","6","105310468","Grassy Park Sp","Grassy Park Sp"
"WC","Bridgeton SP","6","124007217","Bridgeton Sp","Bridgeton Sp"
"WC","Athlone SP","6","100000151","Athlone Sp","Athlone Sp"
"WC","Village V3 North","6","106041102","Village V3 North","Village V3 North"
"WC","Bergsig","6","114330078","Bergsig","Bergsig"
"WC","Heideveld","6","105480258","Heideveld","Heideveld"
"WC","Wellington North","6","100000835","Wellington North","Wellington North"
"WC","Gardens","6","100000103","Gardens","Gardens"
"WC","Delft South","6","103313920","Delft South","Delft South"
"WC","Stellenbos","6","100000617","Stellenbos","Stellenbos"
"WC","Klein Nederburg (Paarl)","6","108470309","Klein Nederburg (Paarl)","Klein Nederburg (Paarl)"
"WC","Sarepta","6","107003388","Sarepta","Sarepta"
"WC","Philippi East","5","106007103","Philippi East","Philippi East"
"WC","Macassar SP","5","110320811","Macassar Sp","Macassar Sp"
"WC","Woodlands(Mitchells Plain)","5","106490164","Woodlands(mitchells Plain)","Woodlands(mitchells Plain)"
"WC","Weltevreden Valley North 1","5","106007058","Weltevreden Valley North 1","Weltevreden Valley North 1"
"WC","Windermere","5","103322113","Windermere","Windermere"
"WC","Mbekweni SP","5","108041324","Mbekweni Sp","Mbekweni Sp"
"WC","Dalsig SP","5","100000800","Dalsig Sp","Dalsig Sp"
"WC","Salt River","5","100000679","Salt River","Salt River"
"WC","Saxonsea","5","100000803","Saxonsea","Saxonsea"
"WC","Cape Metro NU3","5","101321990","Cape Metro Nu3","Cape Metro Nu3"
"WC","Hessequa NU","5","116008181","Hessequa Nu","Hessequa Nu"
"WC","Hanover Park","5","105311146","Hanover Park","Hanover Park"
"WC","Lemoenkloof","5","100000816","Lemoenkloof","Lemoenkloof"
"WC","Village V1 North","5","106041101","Village V1 North","Village V1 North"
"WC","Pineview","5","100000819","Pineview","Pineview"
"WC","Voorbrug","5","100000705","Voorbrug","Voorbrug"
"WC","Riversdale SP","5","121008026","Riversdale Sp","Riversdale Sp"
"WC","Newlands","5","105309334","Newlands","Newlands"
"WC","Kensington","5","103007365","Kensington","Kensington"
"WC","Knysna Central","5","119007547","Knysna Central","Knysna Central"
"WC","Thembalethu SP","5","118041302","Thembalethu Sp","Thembalethu Sp"
"WC","Bridgetown","5","105008250","Bridgetown","Bridgetown"
"WC","Silvertown","5","105480045","Silvertown","Silvertown"
"WC","Mountview","4","105062400","Mountview","Mountview"
"WC","Louwville","4","100000124","Louwville","Louwville"
"WC","Belgravia(Athlone)","4","105003390","Belgravia(athlone)","Belgravia(athlone)"
"WC","Lansdowne","4","105003386","Lansdowne","Lansdowne"
"WC","Ladismith SP","4","123008273","Ladismith Sp","Ladismith Sp"
"WC","Pine Tree","4","100000575","Pine Tree","Pine Tree"
"WC","Dysseldorp SP","4","124350338","Dysseldorp Sp","Dysseldorp Sp"
"WC","Rosebank","4","105000817","Rosebank","Rosebank"
"WC","Lavender Hill","4","105311448","Lavender Hill","Lavender Hill"
"WC","Gans Bay SP","4","115007999","Gans Bay Sp","Gans Bay Sp"
"WC","Hermanus SP","4","115001046","Hermanus Sp","Hermanus Sp"
"WC","Kenilworth","4","105000814","Kenilworth","Kenilworth"
"WC","Ashton SP","4","127309203","Ashton Sp","Ashton Sp"
"WC","Fish Hoek SP","4","104309247","Fish Hoek Sp","Fish Hoek Sp"
"WC","Nyanga SP","4","106005101","Nyanga Sp","Nyanga Sp"
"WC","Bredasdorp SP","4","113309216","Bredasdorp Sp","Bredasdorp Sp"
"WC","Eastridge","4","104001051","Eastridge","Eastridge"
"WC","Victoria Merge","4","103323926","Victoria Merge","Victoria Merge"
"WC","Zweletemba SP","4","130041103","Zweletemba Sp","Zweletemba Sp"
"WC","Milnerton SP","4","103309297","Milnerton Sp","Milnerton Sp"
"WC","Hout Bay SP","4","103008183","Hout Bay Sp","Hout Bay Sp"
"WC","Cloetesville SP","4","109320684","Cloetesville Sp","Cloetesville Sp"
"WC","Charleston Hill","4","108470333","Charleston Hill","Charleston Hill"
"WC","Maitland","4","103000809","Maitland","Maitland"
"WC","Mowbray","4","103000808","Mowbray","Mowbray"
"WC","Amstelhof","4","108470031","Amstelhof","Amstelhof"
"WC","Town 3","4","102323934","Town 3","Town 3"
"WC","Clanwilliam SP","4","100000406","Clanwilliam Sp","Clanwilliam Sp"
"WC","Harare/Holimisa","4","106008405","Harare/Holimisa","Harare/Holimisa"
"WC","Avondale SP1","4","132470058","Avondale Sp1","Avondale Sp1"
"WC","Protea Park (Atlantis)","4","132470066","Protea Park (Atlantis)","Protea Park (Atlantis)"
"WC","George Central","4","100000319","George Central","George Central"
"WC","Wesbank SP","4","132470287","Wesbank Sp","Wesbank Sp"
"WC","Surrey","4","100000821","Surrey","Surrey"
"WC","Ocean View","4","100000649","Ocean View","Ocean View"
"WC","Bloekombos","4","100000638","Bloekombos","Bloekombos"
"WC","Heathfield","4","100000287","Heathfield","Heathfield"
"WC","Bergvliet","4","100000834","Bergvliet","Bergvliet"
"WC","Oakdale","4","101008286","Oakdale","Oakdale"
"WC","Rustdene SP","4","139360031","Rustdene Sp","Rustdene Sp"
"WC","Knysna NU","4","118358185","Knysna Nu","Knysna Nu"
"WC","The Hague","4","100000109","The Hague","The Hague"
"WC","Mandela Park","4","106041229","Mandela Park","Mandela Park"
"WC","Northpine","3","100000108","Northpine","Northpine"
"WC","Sand Bay SP","3","100000220","Sand Bay Sp","Sand Bay Sp"
"WC","Strandfontein Village","3","106490407","Strandfontein","Strandfontein"
"WC","Edgemead","3","100000634","Edgemead","Edgemead"
"WC","Malibu Village","3","107007791","Malibu","Malibu"
"WC","Kleinvlei","3","107320978","Kleinvlei","Kleinvlei"
"WC","Klippiesdal","3","108003385","Klippiesdal","Klippiesdal"
"WC","Hoog-En-Droog","3","108309311","Hoog En Droog","Hoog En Droog"
"WC","Khayelitsha T3-V5","3","106008326","Khayelitsha T3 V5","Khayelitsha T3 V5"
"WC","Village V1 South","3","106008233","Village V1 South","Village V1 South"
"WC","Andas Estate","3","110007510","Andas Estate","Andas Estate"
"WC","Wallacedene","3","100000602","Wallacedene","Wallacedene"
"WC","Imhofs Gif","3","100000601","Imhofs Gif","Imhofs Gif"
"WC","Cape Town","3","100000666","Cape Town","Cape Town"
"WC","Weltevreden","3","111007200","Weltevreden","Weltevreden"
"WC","Tulbagh SP","3","100000587","Tulbagh Sp","Tulbagh Sp"
"WC","Cape Agulhas NU","3","113309276","Cape Agulhas Nu","Cape Agulhas Nu"
"WC","Villiersdorp SP","3","114309231","Villiersdorp Sp","Villiersdorp Sp"
"WC","Laingsburg SP","3","140008400","Laingsburg Sp","Laingsburg Sp"
"WC","Zwelihle SP","3","115008001","Zwelihle Sp","Zwelihle Sp"
"WC","Heidelberg SP","3","116112221","Heidelberg Sp","Heidelberg Sp"
"WC","Swellendam SP","3","117000842","Swellendam Sp","Swellendam Sp"
"WC","Hazendal(Athlone)","3","105310409","Hazendal(athlone)","Hazendal(athlone)"
"WC","Romp Vallei","3","105309348","Romp Vallei","Romp Vallei"
"WC","Mossel Bay","3","100000573","Mossel Bay","Mossel Bay"
"WC","Pacaltsdorp","3","118008008","Pacaltsdorp","Pacaltsdorp"
"WC","Levallia","3","118353310","Levallia","Levallia"
"WC","Hout Bay S","3","100000559","Hout Bay S","Hout Bay S"
"WC","Pelikan Park","3","105008189","Pelikan Park","Pelikan Park"
"WC","Bitou NU","3","119001054","Bitou Nu","Bitou Nu"
"WC","Kwanonqaba SP","3","120041227","Kwanonqaba Sp","Kwanonqaba Sp"
"WC","D'Almeida","3","120350125","D'almeida","D'almeida"
"WC","Riversdale Settlement","3","121106203","Riversdale Settlement","Riversdale Settlement"
"WC","Ceres SP","3","126309251","Ceres Sp","Ceres Sp"
"WC","Bella Vista SP","3","126330507","Bella Vista Sp","Bella Vista Sp"
"WC","Fairdale","3","100000445","Fairdale","Fairdale"
"WC","Montagu SP","3","127309298","Montagu Sp","Montagu Sp"
"WC","Montana SP","3","129330574","Montana Sp","Montana Sp"
"WC","Worcester Central","3","130003395","Worcester Central","Worcester Central"
"WC","De Doorns East","3","130041107","De Doorns East","De Doorns East"
"WC","Schotschekloof","3","103311898","Schotschekloof","Schotschekloof"
"WC","De Doorns SP","3","130041111","De Doorns Sp","De Doorns Sp"
"WC","Brooklyn","3","103308214","Brooklyn","Brooklyn"
"WC","Cape Town CBD","3","103304605","Cape Town Cbd","Cape Town Cbd"
"WC","Woodstock","3","103304603","Woodstock","Woodstock"
"WC","Camps Bay","3","103008403","Camps Bay","Camps Bay"
"WC","Sunridge","3","100000429","Sunridge","Sunridge"
"WC","Touwsrivier SP","3","130309361","Touwsrivier Sp","Touwsrivier Sp"
"WC","Dunoon","3","103007218","Dunoon","Dunoon"
"WC","Sea Point","3","103000811","Sea Point","Sea Point"
"WC","Roodewal","3","130330043","Roodewal","Roodewal"
